Forever Evil - Card Name,Card Type,Cost,VP,Def,Atk,Draw,Destroy,Ongoing,Card Text,Copies
Constantine,Super Hero,10,5,,,x,x,,"Reveal the top three cards of your deck. Draw one, destroy one, and put one on top of your deck. Gain VPs equal to the destroyed card's VP value. FIRST APPEARANCE -- ATTACK: Each player loses 3 VPs. If you have none to lose, gain a Weakness.",
Cyborg,Super Hero,10,5,,,,,,"+2 Power for each Super Power and Equipment you play or have played.  FIRST APPEARANCE -- ATTACK: Each player discards a Super Power and an Equipment. If you discard no cards, gain a Weakness.",
Green Arrow,Super Hero,9,5,,,,,x,"When you play this card, leave it in front of you for the rest of the game. Ongoing: Punch cards you play have an additional +1 Power. FIRST APPEARANCE -- ATTACK: Each player discards two Punch cards. For each Punch you fail to discard, gain a Weakness.",
Green Lantern,Super Hero,11,6,,,,,,"You may play up to three Heroes with cost 6 or less from the destroyed pile, and then put them on the  bottom of the main deck. If you choose not to, +3 Power. FIRST APPEARANCE -- ATTACK: Each player destroys a Hero in his hand or discard pile. If you cannot, gain a Weakness.",
Martian Manhunter,Super Hero,12,6,,,,,,"+2 Power for each Hero and Villain you play or have played this turn. FIRST APPEARANCE -- ATTACK: Each player discards a Hero and a Villain. If you discard no cards, gain a Weakness.",
Shazam!,Super Hero,12,6,,,,,,"Gain the top two cards of the main deck, play them, and then destroy one of them. (Its effects remain.) FIRST APPEARANCE -- ATTACK: Each player puts a card with cost 5 or greater from his hand or discard pile on the bottom of the main deck. If you cannot, gain a Weakness.",
Superman,Super Hero,13,6,,,,,,"You may play up to three Super Powers from the destroyed pile, and then put them on the bottom of the main deck. If you choose not to, +4 Power. FIRST APPEARANCE -- ATTACK: Each player destroys a Super Power in his hand or discard pile. If you cannot, gain two Weakness cards.",
Swamp Thing,Super Hero,9,5,,,,,,"+2 Power for each Location in play. FIRST APPEARANCE -- ATTACK: Each player puts a Location he controls into his discard pile. If you cannot, gain a Weakness.",
Wonder Woman,Super Hero,11,6,,,,,,"You may play up to three Villains with cost 6 or less from the destroyed pile, and then put them on the bottom of the main deck. If you choose not to, +3 Power. FIRST APPEARANCE -- ATTACK: Each player destroys a Villain in his hand or discard pile. If you cannot, gain a Weakness.",
,,,,,,,,,,
Bizarro,Super-Villain,,,,,,,,"When you destroy a card, gain a Weakness. During your turn, you may put two Weakness cards from your discard pile on top of the Weakness stack. If you do, draw a card.",
Lex Luthor,Super-Villain,,,,,,,,"At the end of your turn, draw an extra card for each Hero you bought or gained during your turn.",
Deathstroke,Super-Villain,,,,,,,,+1 Power for each card you destroy during your turn.,
Harley Quinn,Super-Villain,,,,,,,,"During each player's turn, the first time you pass a card or discard a card, draw a card.",
Sinestro,Super-Villain,,,,,,,,"When one or more foes fail to avoid an Attack you play, gain 1 VP. The first time you gain VPs during each of your turns, draw a card.",
Black Manta,Super-Villain,,,,,,,,You may put any cards you buy or gain from the Line-Up on the bottom of your deck.,
Black Adam,Super-Villain,,,,,,,,"The first time you play a Super Power during each of your turns, you may destroy it. If you do, draw a card and gain 1 VP.",
Bane,Super-Villain,,,,,,,,"If the first card you play during each of your turns has cost 1 or greater, you may destroy it. If you do, +2 Power.",
